AGE,SEXE,BEN_REG,DNB,REM,BSE
40,2,32,94,997.98,1438.75
40,2,32,2279,21782.26,34572.6
40,2,32,1063,15375.4,16127.5
40,2,32,88,997.24,1341.45
40,2,32,42,508.95,648
40,2,32,3438,38144.99,52236.85
40,2,28,51,587.57,771.25
40,2,28,1225,15121.16,18587.4
40,2,28,25,291.85,383.65
40,2,28,340,5011.85,5225.85
40,2,28,21,229.09,316.4
40,2,28,1452,13904.29,22003.1
40,2,28,319,4725.67,4826.75
40,2,28,46,556.06,705.2
40,2,28,1173,12596.02,17798.15
40,2,27,34,426.49,516.7
40,2,27,16,145.29,242.15
40,2,27,2035,25771.23,30936.15
40,2,27,32,294.6,481.1
40,2,27,302,4396.39,4552.75
40,2,27,21,251.79,326.95
40,2,27,1208,11662.5,18398.85
40,2,27,236,3440.75,3576.25
40,2,27,37,394.62,564.55
40,2,27,1378,15056.55,21058.6
40,2,24,49,494.33,752.45
40,2,24,1290,16683.55,19528.3
40,2,24,264,3857.28,3989
40,2,24,21,226.81,313.95
40,2,24,866,8284.99,13136.25
40,2,24,168,2480.3,2538.45
40,2,24,22,240.16,335.3
40,2,24,848,9385.14,12917.95
40,2,11,41,417.84,625.3
40,2,11,8922,115981.18,135341.2
40,2,11,82,800.17,1256.5
40,2,11,28,262.11,417.05
40,2,11,39,512.2,604.2
40,2,11,15,151.47,225.7
40,2,11,16,180.36,248.4
40,2,11,69,718.35,1065.4
40,2,11,36,427.15,548.85
40,2,11,15,151.18,223
40,2,11,1631,23151.86,24719.25
40,2,11,159,1718.26,2410.9
40,2,11,7877,76424.1,119530.45
40,2,11,904,12811.71,13754.35
40,2,11,286,3363.95,4345.65
40,2,11,97,1172.38,1484.9
40,2,11,48,555.39,733.05
40,2,11,4863,52854.08,73966.5
40,2,5,49,722.53,849.6
40,2,5,801,10505.47,14059.9
40,2,5,91,1175.89,1568.25
40,2,5,38,459.25,675.05
40,2,5,1205,12858.7,21626.75
40,2,5,172,3010.71,3132.95
40,2,5,86,980.73,1528.95
40,2,5,2183,26432,38633.95
40,1,93,44,548.67,664.7
40,1,93,125,1509.58,1908.45
40,1,93,31,454.33,466.75
